ID,Sektor,Total_Kons,HCOAL,BCOAL,COKE,CRUDE,DIESEL,GASOLINE,JETFUEL,LFO,HFO,NAPHTA,OTHPETRO,NATGAS,OTHGAS,WASTE,BIOGASOL,BIODIESEL,BIOGAS,OTHRENEW,ELECTR,HEATPROD,NUCLEAR,HYDRO,GEOTHERM,SOLAR,WIND,OTHSOURC
33,Ind. Makanan & minuman lainnya,2645.372404,287.9453438,0.191804484,0,0,15.11235796,32.86053761,0,189.6468607,22.22796819,0,60.01949076,302.5157084,0,0,0.003323334,0.030557524,0,1636.688639,98.12981166,0,0,0,0,0,0,0
34,Ind. pengolahan tembakau,259.0089321,28.19278522,0.018779615,0,0,1.479653939,3.217381698,0,18.56836141,2.176344736,0,5.87652014,29.61937249,0,0,0.000325388,0.002991893,0,160.2485064,9.607909152,0,0,0,0,0,0,0
35,Ind. Tekstil selain tenun dan batik,352.1285134,80.95416864,0.053924722,0,0,3.585904307,7.797244058,0,66.33874578,4.14137803,0,1.70156382,137.0654902,0,0,0.00078857,0.007250778,0,6.020856693,44.46119777,0,0,0,0,0,0,0
36,Ind. Tenun,16.44971762,3.781781832,0.002519099,0,0,0.167515867,0.364249012,0,3.099020937,0.193464876,0,0.079488719,6.403027656,0,0,3.68381E-05,0.000338721,0,0.281264904,2.077009162,0,0,0,0,0,0,0
37,Ind. Batik,35.87427751,8.24747841,0.005493763,0,0,0.365326071,0.794370483,0,6.758483013,0.421916826,0,0.173352541,13.96400816,0,0,8.03383E-05,0.000738697,0,0.613395041,4.529634172,0,0,0,0,0,0,0
38,Ind. Pakaian jadi,730.7470161,167.9983725,0.111906102,0,0,7.44156969,16.18106064,0,137.6680351,8.594304417,0,3.5311332,284.4421687,0,0,0.001636463,0.015047019,0,12.49465151,92.2671308,0,0,0,0,0,0,0
39,"Ind. kulit, barang dari kulit dan alas kaki ",227.4973747,52.30153235,0.034838794,0,0,2.316721835,5.037514672,0,42.85904131,2.675593124,0,1.099318252,88.55300834,0,0,0.000509467,0.004684463,0,3.88985566,28.72475639,0,0,0,0,0,0,0
40,Ind. Kayu gergajian dan awetan,16.41963977,0.017526477,0.003544324,0,0,0.613636339,1.33430005,0,1.322486885,0.06008505,0,0.194813322,7.529162927,0,0,0.000134944,0.001240786,0,2.900404619,2.44230405,0,0,0,0,0,0,0
41,Ind. Perabot rumah tangga dan lainnya dari kayu/bambu selain furnitur,280.0018369,0.298876581,0.060440866,0,0,10.46425527,22.75363347,0,22.55218519,1.02462202,0,3.322124522,128.3937698,0,0,0.002301177,0.021158957,0,49.46019719,41.64827181,0,0,0,0,0,0,0
42,"Ind. kertas & barang dari kertas, percetakan, media rekam",19.71674469,4.985700009,0.0033784,0,0,0.12163977,0.264495338,0,1.584971893,0.072010632,0,0.233479547,9.192938378,0,0,2.67496E-05,0.000245958,0,0.27585977,2.981998245,0,0,0,0,0,0,0
43,Ind. Pupuk dan Pestisida,4.669351069,0.179590426,0.179590426,0.179590426,0.179590426,0.179590426,0.179590426,0.179590426,0.179590426,0.179590426,0.179590426,0.179590426,0.179590426,0.179590426,0.179590426,0.179590426,0.179590426,0.179590426,0.179590426,0.179590426,0.179590426,0.179590426,0.179590426,0.179590426,0.179590426,0.179590426,0.179590426
